model,label,precision,recall,f1_score,support
logistic_regression,0,0.9234234234234234,0.8299595141700404,0.8742004264392325,247.0
logistic_regression,1,0.4166666666666667,0.6382978723404256,0.5042016806722689,47.0
logistic_regression,macro avg,0.670045045045045,0.734128693255233,0.6892010535557507,294.0
logistic_regression,weighted avg,0.8424112888398603,0.7993197278911565,0.8150509670819288,294.0
random_forest,0,0.8768656716417911,0.951417004048583,0.912621359223301,247.0
random_forest,1,0.5384615384615384,0.2978723404255319,0.3835616438356164,47.0
random_forest,macro avg,0.7076636050516647,0.6246446722370574,0.6480915015294587,294.0
random_forest,weighted avg,0.8227670517116146,0.8469387755102041,0.8280437856749296,294.0
gradient_boosting,0,0.8717948717948718,0.9635627530364372,0.9153846153846154,247.0
gradient_boosting,1,0.5714285714285714,0.2553191489361702,0.35294117647058826,47.0
gradient_boosting,macro avg,0.7216117216117216,0.6094409509863037,0.6341628959276018,294.0
gradient_boosting,weighted avg,0.823777129899579,0.8503401360544217,0.8254701880752301,294.0
decision_tree,0,0.8871595330739299,0.9230769230769231,0.9047619047619048,247.0
decision_tree,1,0.4864864864864865,0.3829787234042553,0.42857142857142855,47.0
decision_tree,macro avg,0.6868230097802082,0.6530278232405893,0.6666666666666666,294.0
decision_tree,weighted avg,0.8231063589596108,0.8367346938775511,0.8286362163913185,294.0
